Formula,gfa,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010
Al87Ce13Nb0,1,Al87 Ce13,Al0.5630724680128426 Ce0.4369275319871573 ,Al0.87Ce0.13,0.094228393,0.177773009,-0.011676553,4.6371,1.172265902,-0.003212419,41.68901858,4168.901858,-0.36180005,0.084336309,0.115362,11.7,17.1912,3.5109,3,0,1,1,1,24.6894,0.199144419,1.653522,-0.023840546,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.68901858,11.7,3.39,45,18.85,0.6,1.328,0.49,1.5463,2,0.87,0.13,0.13,0.638977636,0.277955272,0.041533546,0.041533546,-0.011676553,0.011676553,0.051854497,0.149991147,0.293405739
Al90Ce5Nb5,1,Al90 Ce5 Nb5,Al0.6757679169775005 Ce0.19496025465356825 Nb0.1292718283689313 ,Al0.9Ce0.05Nb0.05,0.06233618,0.347149833,0.010265053,2.0325,1.173650249,-0.003279022,35.93450374,3593.450374,-0.843847578,0.053841841,0.054825,12.1,9.74,3.6455,8,1,1,5,1,26.403,0.154177395,1.21125,-0.013408667,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93450374,12.1,3.25,45,16.65,0.6,1.29,0.49,1.585,1.95,0.9,0.25,0.05,0.619047619,0.285714286,0.079365079,0.015873016,0.010265053,0.010265053,0.052489066,0.085768778,0.110983172
Al94Ce6Nb0,1,Al94 Ce6,Al0.7510495109330544 Ce0.24895048906694564 ,Al0.94Ce0.06,0.067872302,0.207287765,0.007519589,2.3124,1.173514079,-0.001887008,33.76960628,3376.960628,-0.409626998,0.058528216,0.057528,12.4,8.5728,3.4458,3,0,1,1,1,25.7128,0.135032265,0.824568,-0.011785329,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.76960628,12.4,3.18,45,15.7,0.6,1.286,0.49,1.5806,2,0.94,0.06,0.06,0.653594771,0.307189542,0.019607843,0.019607843,0.007519589,0.007519589,0.016162441,0.193764424,0.359267685
Al60Ce10Ni30,0,Al60 Ce10 Ni30,Al0.33861988025489126 Ce0.29307732622405225 Ni0.36830279352105655 ,Al0.6Ce0.1Ni0.3,0.109132676,0.312534853,0.012768501,6.84,1.255685796,-0.007465521,47.80854316,4780.854316,-0.626831048,0.137338917,0.3018,11.1,28.32,3.798,11,0,1,9,1,39.666,0.593868892,11.4924,-0.144171189,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.80854316,11.1,3.6,45,22,0.6,1.34,0.79,1.651,2,0.6,2.5,0.1,0.384615385,0.115384615,0.480769231,0.019230769,0.012768501,0.019346873,0.026836945,0.034809148,0.058020248
Al65Ce5Ni30,0,Al65 Ce5 Ni30,Al0.4160674450724531 Ce0.16620397375585783 Ni0.41772858117168904 ,Al0.65Ce0.05Ni0.3,0.087075474,0.325966537,-0.016435101,5.0975,1.257116225,-0.006576269,42.15182009,4215.182009,-0.86733699,0.121046105,0.25845,11.6,23.78,3.7515,11,0,1,9,1,40.397,0.566957791,10.87105,-0.123921361,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.15182009,11.6,3.45,45,19.75,0.6,1.31,0.79,1.6755,2,0.65,2.45,0.05,0.388349515,0.126213592,0.475728155,0.009708738,-0.016435101,0.021436125,0.04452245,0.056414788,0.065911563
Al70Ce10Ni20,0,Al70 Ce10 Ni20,Al0.42312265512354474 Ce0.31389851316067013 Ni0.2629788317157851 ,Al0.7Ce0.1Ni0.2,0.102438015,0.292611479,0.009697247,6.09,1.254651533,-0.006666319,44.63735702,4463.735702,-0.635278,0.126249319,0.2518,11.4,25.2,3.693,11,0,1,9,1,34.82,0.590885732,9.0694,-0.128185099,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63735702,11.4,3.5,45,20.5,0.6,1.33,0.79,1.621,2,0.7,1.7,0.1,0.444444444,0.155555556,0.377777778,0.022222222,0.009697247,0.014450854,0.019692934,0.047659782,0.055636688
Al75Ce5Ni20,0,Al75 Ce5 Ni20,Al0.5191335260467205 Ce0.1797251427205175 Ni0.30114133123276204 ,Al0.75Ce0.05Ni0.2,0.080829884,0.313816318,0.021936359,4.3475,1.256067636,-0.005715341,38.98063395,3898.063395,-0.874778746,0.110230952,0.20845,11.9,20.02,3.6465,11,0,1,9,1,35.551,0.562615691,8.44805,-0.110287283,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.98063395,11.9,3.35,45,18.25,0.6,1.3,0.79,1.6455,2,0.75,1.65,0.05,0.449438202,0.168539326,0.370786517,0.011235955,0.021936359,0.023918532,0.017054581,0.040656676,0.054062191
Al80Ce10Ni10,0,Al80 Ce10 Ni10,Al0.5205503768955674 Ce0.33790436161922266 Ni0.14154526148521 ,Al0.8Ce0.1Ni0.1,0.094420341,0.268436914,0.005572641,5.04,1.253627559,-0.005312911,41.46617088,4146.617088,-0.59593844,0.107599677,0.1818,11.7,20.32,3.588,11,0,1,9,1,29.974,0.521946088,5.6772,-0.091357288,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.46617088,11.7,3.4,45,19,0.6,1.32,0.79,1.591,2,0.8,0.9,0.1,0.526315789,0.210526316,0.236842105,0.026315789,0.005572641,0.007069198,0.063594979,0.074094483,0.082449048
Al84Ce6Ni10,0,Al84 Ce6 Ni10,Al0.6135356319339578 Ce0.22757930862734005 Ni0.15888505943870218 ,Al0.84Ce0.06Ni0.1,0.07794582,0.294534148,0.013609801,3.6624,1.254747626,-0.004535453,36.94079242,3694.079242,-0.746508971,0.094636821,0.147528,12.1,15.7248,3.5508,11,0,1,9,1,30.5588,0.498337838,5.185968,-0.080499306,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.94079242,12.1,3.28,45,17.2,0.6,1.296,0.79,1.6106,2,0.84,0.86,0.06,0.531914894,0.223404255,0.228723404,0.015957447,0.013609801,0.016340929,0.00929659,0.053084101,0.069030022
Al85Ce5Ni10,0,Al85 Ce5 Ni10,Al0.6404541039472678 Ce0.19564110670378976 Ni0.16390478934894248 ,Al0.85Ce0.05Ni0.1,0.072819801,0.303000027,0.016858556,3.2975,1.255029559,-0.0043082,35.80944781,3580.944781,-0.812450484,0.091034632,0.13845,12.2,14.5,3.5415,11,0,1,9,1,30.705,0.492402908,5.05585,-0.077541281,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.80944781,12.2,3.25,45,16.75,0.6,1.29,0.79,1.6155,2,0.85,0.85,0.05,0.533333333,0.226666667,0.226666667,0.013333333,0.016858556,0.018839109,0.009846467,0.049545226,0.064787383
Al85Ce6Ni9,0,Al85 Ce6 Ni9,Al0.6262153799474329 Ce0.22954988195926163 Ni0.14423473809330545 ,Al0.85Ce0.06Ni0.09,0.077045082,0.292356827,0.012700942,3.5409,1.254644672,-0.004353716,36.62367381,3662.367381,-0.733449588,0.092071382,0.139428,12.13,15.0888,3.5403,11,0,1,9,1,30.0742,0.484187123,4.793442,-0.075554194,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.62367381,12.13,3.27,45,17.05,0.6,1.295,0.79,1.6076,2,0.85,0.78,0.06,0.54200542,0.230352304,0.211382114,0.016260163,0.012700942,0.015561752,0.018697179,0.055050206,0.070371633
Al85Ce10Ni5,0,Al85 Ce10 Ni5,Al0.5750746119894294 Ce0.3513389416460915 Ni0.07358644636447909 ,Al0.85Ce0.1Ni0.05,0.089826109,0.24692079,0.0010564,4.4025,1.253119381,-0.0043082,39.88057781,3988.057781,-0.533937834,0.093784783,0.1393,11.85,17.22,3.5355,11,0,1,9,1,27.551,0.426183598,3.61765,-0.060337438,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.88057781,11.85,3.35,45,18.25,0.6,1.315,0.79,1.576,2,0.85,0.5,0.1,0.579710145,0.246376812,0.144927536,0.028985507,0.0010564,0.002330871,0.065207956,0.074468131,0.083852934
Al86Ce6Ni8,0,Al86 Ce6 Ni8,Al0.6391166297858097 Ce0.231554879128996 Ni0.12932849108519429 ,Al0.86Ce0.06Ni0.08,0.076122861,0.289828726,0.014753093,3.4164,1.254541822,-0.004161744,36.3065552,3630.65552,-0.718199621,0.08934353,0.131128,12.16,14.4352,3.5298,11,0,1,9,1,29.5896,0.467916466,4.391224,-0.070240583,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3065552,12.16,3.26,45,16.9,0.6,1.294,0.79,1.6046,2,0.86,0.7,0.06,0.552486188,0.237569061,0.193370166,0.016574586,0.014753093,0.014753093,0.031823614,0.054588802,0.073050798
Al87Ce6Ni7,0,Al87 Ce6 Ni7,Al0.6522452366964927 Ce0.23359521010686551 Ni0.11415955319664192 ,Al0.87Ce0.06Ni0.07,0.075178441,0.286824462,0.013847919,3.2889,1.254439073,-0.003958386,35.98943658,3598.943658,-0.700376335,0.086436673,0.122628,12.19,13.764,3.5193,11,0,1,9,1,29.105,0.449143316,3.979314,-0.064532548,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.98943658,12.19,3.25,45,16.75,0.6,1.293,0.79,1.6016,2,0.87,0.62,0.06,0.563380282,0.245070423,0.174647887,0.016901408,0.013847919,0.013847919,0.031110561,0.052359462,0.070977552
Al87Ce13Ni0,0,Al87 Ce13,Al0.5630724680128426 Ce0.4369275319871573 ,Al0.87Ce0.13,0.094228393,0.177773009,-0.011676553,4.6371,1.172265902,-0.003212419,41.68901858,4168.901858,-0.36180005,0.084336309,0.115362,11.7,17.1912,3.5109,3,0,1,1,1,24.6894,0.199144419,1.653522,-0.023840546,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.68901858,11.7,3.39,45,18.85,0.6,1.328,0.49,1.5463,2,0.87,0.13,0.13,0.638977636,0.277955272,0.041533546,0.041533546,-0.011676553,0.011676553,0.051854497,0.149991147,0.293405739
Al88Ce2Ni10,0,Al88 Ce2 Ni10,Al0.7324834411011832 Ce0.08645023021351532 Ni0.18106632868530143 ,Al0.88Ce0.02Ni0.1,0.053167062,0.334015139,0.024574098,2.1536,1.255880011,-0.00350013,32.41541397,3241.541397,-1.238223058,0.07905806,0.109992,12.5,10.6432,3.5136,11,0,1,9,1,31.1436,0.474498027,4.647952,-0.068030248,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.41541397,12.5,3.16,45,15.4,0.6,1.272,0.79,1.6302,2,0.88,0.82,0.02,0.537634409,0.23655914,0.220430108,0.005376344,0.024574098,0.025939626,0.050284509,0.054155239,0.068287573
Al88Ce12Ni0,0,Al88 Ce12,Al0.5854318466767551 Ce0.41456815332324487 ,Al0.88Ce0.12,0.091306353,0.180547443,-0.008935829,4.3296,1.172442845,-0.003050614,40.55767397,4055.767397,-0.365919306,0.081288201,0.107712,11.8,16.0512,3.5016,3,0,1,1,1,24.8356,0.191295465,1.543872,-0.022223048,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.55767397,11.8,3.36,45,18.4,0.6,1.322,0.49,1.5512,2,0.88,0.12,0.12,0.641025641,0.282051282,0.038461538,0.038461538,-0.008935829,0.008935829,0.065996633,0.154705192,0.30189102
Al89Ce11Ni0,0,Al89 Ce11,Al0.6090744369933009 Ce0.3909255630066992 ,Al0.89Ce0.11,0.088162188,0.18364899,-0.006194579,4.0139,1.17262024,-0.002880929,39.42632935,3942.632935,-0.370653203,0.078073182,0.099858,11.9,14.8808,3.4923,3,0,1,1,1,24.9818,0.183111235,1.431298,-0.020571509,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.42632935,11.9,3.33,45,17.95,0.6,1.316,0.49,1.5561,2,0.89,0.11,0.11,0.643086817,0.286173633,0.035369775,0.035369775,-0.006194579,0.006664761,0.054548237,0.159419238,0.310376302
Al90Ce10Ni0,0,Al90 Ce10,Al0.6341139683138571 Ce0.365886031686143 ,Al0.9Ce0.1,0.084769125,0.187141618,-0.0034528,3.69,1.172798091,-0.00270274,38.29498474,3829.498474,-0.376122094,0.074670571,0.0918,12,13.68,3.483,3,0,1,1,1,25.128,0.174546323,1.3158,-0.018885445,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.29498474,12,3.3,45,17.5,0.6,1.31,0.49,1.561,2,0.9,0.1,0.1,0.64516129,0.290322581,0.032258065,0.032258065,-0.0034528,0.004442569,0.040406102,0.164133283,0.318861583
Al91Ce9Ni0,0,Al91 Ce9,Al0.6606780186966231 Ce0.33932198130337693 ,Al0.91Ce0.09,0.081093733,0.191110003,-0.000710494,3.3579,1.172976398,-0.002515299,37.16364013,3716.364013,-0.382485623,0.071054329,0.083538,12.1,12.4488,3.4737,3,0,1,1,1,25.2742,0.165543413,1.197378,-0.017164347,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.16364013,12.1,3.27,45,17.05,0.6,1.304,0.49,1.5659,2,0.91,0.09,0.09,0.647249191,0.294498382,0.029126214,0.029126214,-0.000710494,0.002107384,0.026263966,0.168847328,0.327346864
Al92Ce8Ni0,0,Al92 Ce8,Al0.6889101890200995 Ce0.3110898109799006 ,Al0.92Ce0.08,0.077093299,0.195669414,0.00203234,3.0176,1.173155164,-0.002317689,36.03229551,3603.229551,-0.389961575,0.067190915,0.075072,12.2,11.1872,3.4644,3,0,1,1,1,25.4204,0.156028488,1.076032,-0.015407675,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.03229551,12.2,3.24,45,16.6,0.6,1.298,0.49,1.5708,2,0.92,0.08,0.08,0.649350649,0.298701299,0.025974026,0.025974026,0.00203234,0.00203234,0.012121831,0.173561373,0.335832146
Al93Ce7Ni0,0,Al93 Ce7,Al0.7189726999512196 Ce0.2810273000487805 ,Al0.93Ce0.07,0.072711668,0.200982292,0.004775701,2.6691,1.17333439,-0.002108754,34.9009509,3490.09509,-0.398857485,0.063035885,0.066402,12.3,9.8952,3.4551,3,0,1,1,1,25.5666,0.145903225,0.951762,-0.013614867,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9009509,12.3,3.21,45,16.15,0.6,1.292,0.49,1.5757,2,0.93,0.07,0.07,0.651465798,0.302931596,0.022801303,0.022801303,0.004775701,0.004775701,0.002020305,0.179622288,0.345125549
Al80Ce15Ni5,1,Al80 Ce15 Ni5,Al0.47401208378339005 Ce0.4615425067766995 Ni0.06444540943991058 ,Al0.8Ce0.15Ni0.05,0.104541675,0.224068038,-0.01265925,5.94,1.251743124,-0.005095397,45.53730088,4553.730088,-0.466228791,0.107907836,0.17755,11.35,22.6,3.582,11,0,1,9,1,26.82,0.455781044,4.1659,-0.069228804,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.53730088,11.35,3.5,45,20.5,0.6,1.345,0.79,1.5515,2,0.8,0.55,0.15,0.571428571,0.228571429,0.157142857,0.042857143,-0.01265925,0.01265925,0.028327886,0.070100906,0.094550327
Al90Ce0Ni10,1,Al90 Ni10,Al0.8053462812860208 Ni0.1946537187139791 ,Al0.9Ni0.1,0.032258065,0.345665069,0.031062542,1.35,1.069070809,-0.00270274,30.15272474,3015.272474,-2.597332987,0.069767442,0.09,12.7,7.92,3.495,9,0,1,8,0,31.436,0.462463418,4.3614,-0.061124726,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.15272474,12.7,3.1,15,14.5,0.1,1.26,0.3,1.64,2,0.9,0.8,0,0.540540541,0.243243243,0.216216216,0,0.031062542,0.031062542,0.032635698,0.097907093,0.209593702
Al94Ce6Ni0,1,Al94 Ce6,Al0.7510495109330544 Ce0.24895048906694564 ,Al0.94Ce0.06,0.067872302,0.207287765,0.007519589,2.3124,1.173514079,-0.001887008,33.76960628,3376.960628,-0.409626998,0.058528216,0.057528,12.4,8.5728,3.4458,3,0,1,1,1,25.7128,0.135032265,0.824568,-0.011785329,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.76960628,12.4,3.18,45,15.7,0.6,1.286,0.49,1.5806,2,0.94,0.06,0.06,0.653594771,0.307189542,0.019607843,0.019607843,0.007519589,0.007519589,0.016162441,0.193764424,0.359267685
